video_file,feature_path,num_frames,frame_feature_dim,detection_ratio,mean_visibility,motion_mean,motion_p50,motion_p95,motion_max,sentence_id,sentence,category,text_variations
6C.mp4,./features/pose_data/6C.npy,204,540,1.0,0.6344496607780457,5.189858436584473,1.0286848545074463,21.248947143554688,21.56332778930664,6,Where is the waiting area?,General hospital interactions,"[""Where is the waiting area?"", ""Could you tell me where the waiting area is?"", ""Where can I find the waiting area?"", ""Waiting area, please?"", ""I'm looking for the waiting area. Do you know where it is?"", ""Excuse me, where's the waiting area located?""]"
7A.mp4,./features/pose_data/7A.npy,133,540,1.0,0.7109077572822571,4.331750869750977,1.772262692451477,17.325458526611328,25.66600608825684,7,What floor is the pediatric ward on?,General hospital interactions,"[""What floor is the pediatric ward on?"", ""Could you tell me which floor the pediatric ward is located on?"", ""Which floor has the pediatric ward?"", ""I need to find the pediatric ward. What floor is it on?"", ""On what floor can I find the pediatric ward?"", ""Pediatric ward floor?""]"
12C.mp4,./features/pose_data/12C.npy,280,540,1.0,0.6815877556800842,1.0265458822250366,0.6427497863769531,1.7853517532348633,21.6286735534668,12,What are the visiting hours?,General hospital interactions,"[""What are the visiting hours?"", ""What are the hours for visitors?"", ""When can people visit?"", ""What time can I visit?"", ""Could you tell me the visiting hours?"", ""When is visiting allowed?""]"
13D.mp4,./features/pose_data/13D.npy,87,540,1.0,0.7432945370674133,2.994265556335449,0.952077090740204,18.77972984313965,19.443212509155277,13,Can I see the doctor now?,General hospital interactions,"[""Can I see the doctor now?"", ""May I see the doctor?"", ""Is it possible to see the doctor right now?"", ""Doctor, please?"", ""I'd like to see the doctor, if possible."", ""Can the doctor see me?""]"
14D.mp4,./features/pose_data/14D.npy,194,540,1.0,0.7410987615585327,1.963881015777588,0.7529321908950806,17.932907104492188,20.714614868164062,14,Is this the maternity ward?,General hospital interactions,"[""Is this the maternity ward?"", ""Could you tell me if this is the maternity ward?"", ""Is this where the maternity ward is?"", ""Maternity ward, is it here?"", ""Excuse me, I'm looking for the maternity ward."", ""Is this the maternity section?""]"
18A.mp4,./features/pose_data/18A.npy,88,540,1.0,0.7143132090568542,3.0292913913726807,1.417920470237732,19.73064422607422,29.034961700439453,18,What is your full name?,General hospital interactions,"[""What is your full name?"", ""Could you please tell me your full name?"", ""What's your full name?"", ""May I have your full name?"", ""Your full name, please?"", ""What do they call you, officially?""]"
19D.mp4,./features/pose_data/19D.npy,240,540,1.0,0.7282012701034546,1.8755139112472532,0.848605215549469,3.027089834213257,37.1697998046875,19,Please take a number and wait your turn.,General hospital interactions,"[""Please take a number and wait your turn."", ""Kindly take a ticket and patiently await your turn."", ""Grab a number and please wait your turn."", ""Please take a number, then wait."", ""To proceed, please take a number and wait for your turn."", ""Take a number, then please wait your turn.""]"
24A.mp4,./features/pose_data/24A.npy,166,540,1.0,0.6992063522338867,4.335804462432861,1.4225294589996338,22.35968399047852,24.34466552734375,24,Can I have a copy of my medical records?,General hospital interactions,"[""Can I have a copy of my medical records?"", ""May I please obtain a copy of my medical records?"", ""Could I get a copy of my health records?"", ""I'd like a copy of my medical information, please."", ""Can I get my medical records on paper?"", ""Is it possible to get a copy of my medical file?""]"
26D.mp4,./features/pose_data/26D.npy,132,540,1.0,0.7386224865913391,1.906821370124817,1.0782902240753174,3.3074734210968018,24.40747833251953,26,Do you have a parking space available?,General hospital interactions,"[""Do you have a parking space available?"", ""Is there a parking spot open?"", ""Do you have any parking spaces free?"", ""Any parking available?"", ""Could you tell me if there's parking?"", ""Parking space inquiry.""]"
34A.mp4,./features/pose_data/34A.npy,189,540,1.0,0.667535662651062,4.099771499633789,1.5231726169586182,20.038305282592773,25.99188041687012,34,I need help filling out this form.,General hospital interactions,"[""I need help filling out this form."", ""Could you lend me a hand with this form?"", ""I'm struggling to complete this form, can you assist?"", ""Need some help with this application."", ""I require assistance in completing this document."", ""Can you help me fill this out?""]"
